song,lyrics
Believer, First things first I'ma say all the words inside my head I'm fired up and tired of The way that things have been oh-ooh The way that things have been oh-ooh Second thing second Don't you tell me what you think that I could be I'm the one at the sail I'm the master of my sea oh-ooh The master of my sea oh-ooh I was broken from a young age Taking my sulkin' to the masses Writing my poems for the few That look at me took to me shook at me feelin' me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain! You made me a you made me a Believer believer Pain! You break me down and build me up Believer believer Pain! Oh let the bullets fly oh let them rain My life my love my drive it came from… Pain! You made me a you made me a Believer believer Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove oh-ooh Your spirit up above oh-ooh I was chokin' in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings they would drown But they never did ever lived ebbin' and flowin' Inhibited limited 'til it broke open and rained down It rained down like… Pain! You made me a you made me a Believer believer Pain! You break me down and build me up Believer believer Pain! Oh let the bullets fly oh let them rain My life my love my drive it came from… Pain! You made me a you made me a Believer believer Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins oh-ooh The blood in my veins oh-ooh But they never did ever lived ebbin' and flowin' Inhibited limited 'til it broke open and rained down It rained down like… Pain! You made me a you made me a Believer believer Pain! You break me down and build me up Believer believer Pain! Oh let the bullets fly oh let them rain My life my love my drive it came from… Pain! You made me a you made me a Believer believer
Shape of You, The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast and then we talk slow And you come over and start up a conversation with just me And trust me I'll give it a chance now Take my hand stop put Van the Man on the jukebox And then we start to dance and now I'm singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don't mind me Say boy let's not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you One week in we let the story begin We're going out on our first date You and me are thrifty so go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family is doing okay Leave and get in a taxi then kiss in the backseat Tell the driver make the radio play and I'm singing like Girl you know I want your love Your love was handmade for somebody like me Come on now follow my lead I may be crazy don't mind me Say boy let's not talk too much Grab on my waist and put that body on me Come on now follow my lead Come come on now follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on Come on be my baby come on I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new I'm in love with your body Come on be my baby come on Come on be my baby come on I'm in love with your body Come on be my baby come on Come on be my baby come on I'm in love with your body Come on be my baby come on Come on be my baby come on I'm in love with your body Every day discovering something brand new I'm in love with the shape of you
Dilbar,Aye Yoo!! Everybody Knows It’s Gur Sidhu Music!! Dilbar Dilaan De Janiyan Kahton Kare Nadaniyan Je Mann Na Ae Tan Mann Ja Ve Nahi Peke Jaani Aa Kahton Ni Karda Care Ve Ronda Phirenga Pher Ve Gal Hun Tan Meri Sunda Nai Karda Manmaniyan Kithe Russ Na Javein Dardi Aan Naale Akkad Teri Jardi Aan Rus Na Javein Dardi Aan Ve Naale Akkad Teri Jardi Aan Naale Jhidkan Khaani Aan Dilbar Dilaan De Janiyan Kahton Kare Nadaniyan Je Mann Na Ae Tan Mann Ja Ve Nahi Peke Jaani Aa Kardi Aan Pyaar Main Tainu Chahida Kujh Nahi Mainu Jatti Nu Nehde Rakhi Ve Lokaan Nu Show Nai Karna Ladna Tan Andar Ladna Karke Nabede Rakhi Ve Haye Kade Ni Puchheya Ajj Tak Teri Raat Kithе Aa Langdi Ve Jinna Tera Kardi Ohton Adha Hi Aa Mangdi Ve Tеra Mera Loon Loon Channa Tere Naal Jud Gayi Rooh Channa Ae Tera Mera Rishta Na Kalla Jismani Aa Aihde Bare Tan Soch La Bahon Tu Fadke Rok La Jo Mere Andar Paldi Oh Teri Nishani Aa Kithe Russ Na Javein Dardi Aan Naale Akkad Teri Jardi Aan Rus Na Javein Dardi Aan Ve Naale Akkad Teri Jardi Aan Naale Jhidkan Khaani Aan Dilbar Dilaan De Janiyan Kahton Kare Nadaniyan Je Mann Na Ae Tan Mann Ja Ve Nahi Peke Jaani Aa Kahton Ni Karda Care Ve Ronda Phirenga Pher Ve Gal Hun Tan Meri Sunda Nai Karda Manmaniyan Oh Manneya Tere Bol Ne Vikde Pyaar Naal Vi Bol Kade Bhaini Aale Khan’an Kaddke Time Baith Tan Kol Kade Jinne Vi Tere Yaar Ne Ajj Ton Gharon Ne Baahar Ve Tu Pee Pee Fulda Jana Ae Main Mukdi Jani Aa Manneya Na Thodda Sarda Ae Teji Vi Banda Gharda Ae Par Mere Vall Vi Vekh Ve Main Kehnda Begani Aa Kithe Russ Na Javein Dardi Aan Naale Akkad Teri Jardi Aan Rus Na Javein Dardi Aan Ve Naale Akkad Teri Jardi Aan Naale Jhidkan Khaani Aan Dilbar Dilaan De Janiyan Kahton Kare Nadaniyan Je Mann Na Ae Tan Mann Ja Ve Nahi Peke Jaani Aa Kahton Ni Karda Care Ve Ronda Phirenga Pher Ve Gal Hun Tan Meri Sunda Nai Karda Manmaniyan
Ban Ja Rani,Ban ja tu meri rani Tenu mahal dawa dunga Ban meri mehbooba Main tenu Taj pawa dunga Ban ja tu meri rani Tenu mahal dawa dunga Ban meri mehbooba Main tenu Taj pawa dunga Sun meri rani rani Ban meri rani rani Shahjahaan main tera Tenu Mumtaj bana dunga Ban ja tu meri rani Tenu mahal dawa dunga Badan tere di khushboo Mainu sohn na deve ni Raatan nu uth uth ke Socha baare tere ni Badan tere di khushboo Mainu sohn na deve ni Raatan nu uth uth ke Socha baare tere ni Sun meri rani rani Ban meri rani rani Haan karde tu mainu Main duniya nu hila dunga Ban ja tu meri rani Tenu mahal dawa dunga Ishq bulava mainu Tere naam da aaya ni Tere piche duniyadari Chhad main aaya ni Ishq bulava mainu Tere naam da aaya ni Tere piche duniyadari Chhad main aaya ni Sun meri rani rani Ban meri rani rani Dil di hai jaagir Te tera main naa likha dunga Ban ja tu meri rani Tenu mahal dawa dunga Akhiyan nu rehn de Akhiyan de kol kol Akhiyan nu rehn de Akhiyan de kol kol Aaja ni aaja sohni Aaja mere dil de kol Aaja ni aaja sohni Aaja mere dil de kol Akhiyan nu rehn de Akhiyan de kol kol Sun meri rani rani Ban meri rani rani Shahjahaan main tera Tenu Mumtaj bana dunga Ban ja tu meri rani Tenu mahal dawa dunga
Teri Mitti,Listen to Teri Mitti - Tribute Version Here Talvaron pe sar vaar diye Angaaron mein jism jalaya hai Tab jaake ke kahin humne sar pe Yeh kesari rang sajaaya hai Aye meri zameen afsoss nahi Jo tere liye sau dard sahe Mehfooz rahe teri aan sada Chaahe jaan meri yeh rahe na rahe Aye meri zameen mehboob meri Meri nass nass mein tera ishq bahe Pheeka na pade kabhi rang tera Jismon se nikal ke khoon kahe Teri mitti mein mill jawaan Gul banke main khill jawaan Itni si hai dil ki aarzoo Teri nadiyon mein beh jawaan Teri kheton mein lehrawaan Itni si hai dil ki aarzoo Wo o… Sarson se bhare khalihaan mere Jahaan jhoom ke bhagra paa na saka Aabad rahe woh gaaon mera Jahaan laut ke wapas jaa na saka Ho watna ve mere watna ve Tera mera pyar nirala tha Kurbaan hua teri asmat pe Main kitna naseebon wala tha Teri mitti mein mill jawaan Gul banke main khill jawaan Itni si hai dil ki aarzoo Teri nadiyon mein beh jawaan Teri kheton mein lehrawaan Itni si hai dil ki aarzoo O Heer meri tu hansti rahe Teri aankh ghadi bhar nam na ho Main marta tha jis mukhde pe Kabhi uska ujaala kam na ho O maai meri kya fiqr tujhe Kyun aankh se dariya behta hai Tu kehti thi tera chaand hoon main Aur chaand hamesha rehta hai Teri mitti mein mill jawaan Gul banke main khill jawaan Itni si hai dil ki aarzoo Teri nadiyon mein beh jawaan Teri kheton mein lehrawaan Itni si hai dil ki aarzoo तलवारों पे सर वार दिए अंगारों में जिस्म जलाया है तब जाके के कहीं हमने सर पे यह केसरी रंग सजाया है ऐ मेरी ज़मीन अफ़सोस नहीं जो तेरे लिए सौ दर्द सहे महफ़ूज़ रहे तेरी आन सदा चाहे जान मेरी ये रहे ना रहे ऐ मेरी ज़मीन महबूब मेरी मेरी नस नस में तेरा इश्क़ बहे फीका ना पड़े कभी रंग तेरा जिस्मों से निकल के ख़ून कहे तेरी मिट्टी में मिल जावाँ गुल बनके मैं खिल जावाँ इतनी सी है दिल की आरज़ू तेरी नदियों में बह जावाँ तेरे खेतों में लहरावाँ इतनी सी है दिल की आरज़ू वो ओ… सरसों से भरे खलिहान मेरे जहाँ झूम के भंगड़ा पा ना सका आबाद रहे वो गाँव मेरा जहाँ लौट के वापस जा ना सका हो वतना वे मेरे वतना वे तेरा मेरा प्यार निराला था कुर्बान हुआ तेरी अस्मत पे मैं कितना नसीबों वाला था तेरी मिट्टी में मिल जावाँ गुल बनके मैं खिल जावाँ इतनी सी है दिल की आरज़ू तेरी नदियों में बह जावाँ तेरे खेतों में लहरावाँ इतनी सी है दिल की आरज़ू ओ हीर मेरी तू हँसती रहे तेरी आँख घड़ी भर नम ना हो मैं मरता था जिस मुखड़े पे कभी उसका उजाला कम ना हो ओ माई मेरी क्या फ़िक़र तुझे क्यूँ आँख से दरिया बहता है तू कहती थी तेरा चाँद हूँ मैं और चाँद हमेशा रहता है तेरी मिट्टी में मिल जावाँ गुल बनके मैं खिल जावाँ इतनी सी है दिल की आरज़ू तेरी नदियों में बह जावाँ तेरे खेतों में लहरावाँ इतनी सी है दिल की आरज़ू Written by: Manoj Muntashir
Naach Meri Rani, Saat samundar paar gayi main Sab kuchh tujhpe haar gayi main Khud hi khud ki nahi rahi main Ho sajna Par tu mujhpe nazar kare na Thodi si bhi fikar kare na Mannat kar karke thak gayi main Ho sajna Lakhon ka dil tera Yeh tera thunder sa thumka Ab nakhara na kar tu Bijli ban ke ve tu floor pe aa gir Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Drop! Pad gaya hoon mushkil mein Dil mera tadpave Chhod ke duniya saari Pichhe tere aave Dil dhadkana bhool hi jaate Neend veend ab mujhe na aate Ho raha kya smajh na paate Ho sajni Soche tu kya itna paas mere aaja Duniya se darna na Barish banke ve tu floor pe aa gir Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Drop! Ho gayi hoon pagal main Toone kya kar daala Raat din bas tera hi Jap rahi hoon mala Pyar mohabbat ishq ki baatein Kuchh na smajh ab mujhe hain aate Bin tere ab jee nahi paate Ho sajna Tujhpe marta tere moves se main darta Ab itna na tarsa Tufaan banke ve tu floor pe aa gir Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Meri rani naach Naach meri rani rani Drop!
Vaaste,VAASTE sONG LYRICS MEANING Vaaste jaan bhi doon I shall give my life for you Main gawaa imaan bhi doon And shall gladly lose my faith for you Qismaton ka likha mod doon Iwould alter what's written in our fates Badle mein main tere In exchange for you khuda khud bhi de If god himself Jannatein sach kahun chhod doon Offers me paradise I shall decline it Tumse zyada main na jaanun I don't know more than you Tumse khud ko main pehchanun T know you as my identity Tumko bas main apna maanun mahiya Only you I have considered mine o sweetheart Vaaste jaan bhi du I shall give my life for you Mai gawaa imaan bhi du And shall gladly lose my faith for you Kismaton ka likha morh du Iwould alter what's written in our fates Tere ilawa koi bhi khahish Nahi hai baaki dil mein I have no other desire than you Kadam uthaaun jahan bhi jaaun Wherever I walk to; Tujhi se jaaun mil main Iend up bumping in to you Tere liye mera safar For you my journey are Tere bina main jaaun kidhar Without you where-else should I go? Tumse zyada main na jaanun I don't know more than you Tumse khud ko main pehchanun I know you as my own identity Tumko bas main apna maanun mahiya Only youI have considered mine o sweetheart Vaaste jaan bhi du I shall give my life for you Mai gawaa imaan bhi du And shall gladly lose my faith for you Kismaton ka likha morh du Iwould alter what's written in our fates Badley mein main tere In exchange for you Jo khuda khud bhi de If god himself Jannatein sach kahun chhod doon offers me paradise I shall decline it Tuhi hai sawera mera You are my mornings Tuhi hai kinara mera My shores you are Tuhi hai dariya mera Although you are my river Khuda ka zariya mera YOu're my medium to reach god Tujhi se hota shuru ye mera kaarwan My caravan starts with you Caravan here refers a company of travelers organized and equipped for a long journey Tujhi pe jaake khatam Ye mera sara jaahaan And my world is limited to only you Vaaste jaan bhi du For you I shall happily give my life Mai gawaa imaan bhi du Also would lose my faith for you Kismaton ka likha mod du I shall try to change what's written in our fates too
Tera Fitoor,Tera fitoor jabse chadh gaya re Tera fitoor jabse chadh gaya re Ishq jo zara sa tha woh badh gaya re Tera fitoor jabse chadh gaya re Tu jo mere sang chalne lage To meri raahein dhadkane lage Dekhun jo na ik pal main tumhein To teri baahein tadpane lage Ishq jo zara sa tha woh badh gaya re Tera fitoor jabse chadh gaya re Tera fitoor jabse chadh gaya re Hathon se lakeerein yehi kehti hain Labon pe likhi hai mere dil ki khwaahish Lafzon mein kaise main bataun Ik tujhko hi paane ke khaatir Sabse judaa main ho jaaun Kal tak maine the khwaab jo dekhe Tujhmein woh dikhne lage Ishq jo zara sa tha woh badh gaya re Tera fitoor jabse chadh gaya re Tera fitoor jabse chadh gaya re
Shree Krishna Govind Hare Murari,Krishna hare krishna krishna krishna Devki nandan tumko vandan Rakhte sabki laaj Sabke swaami antaryaami Puran keeje kaaj Devki nandan tumko vandan Rakhte sabki laaj Sabke swaami antaryaami Puran keeje kaaj Man mandir mein saje bihari Manmohan teri chhavi ati pyari Man mandir mein saje bihari Manmohan teri chhavi ati pyari Bansi bajaiya raas rachaiya Taaranhar mere tum hi khewaiya Tumse bada kaha kaun kanhaiya Shri krishna govind hare murari Hey nath narayan vaasudeva Shri krishna govind hare murari Hey nath narayan vaasudeva Devki nandan tumko vandan Rakhte sabki laaj Sabke swaami antaryaami Puran keeje kaaj Leela aprampaar teri Tu makhan chor kahave Bhavsagar se sabki naiya Tu hi paar lagave Bhakton ka sahara Tu baasuri wala Mathura ke basaiya Ho nand ke lala Teri bhakti mein naachein sab Taa taa thaiya Shri krishna govind Shri krishna govind hare murari Hey nath narayan vaasudeva Hey nath narayan vaasudeva Devki nandan tumko vandan Rakhte sabki laaj Sabke swaami antaryaami Puran keeje kaaj Devki nandan tumko vandan Rakhte sabki laaj Sabke swaami antaryaami Puran keeje kaaj Written by: Murali Agarwal
Dangal,Re latth gaad doon Re jaada paad doon (x ) Maa ke pet se marghat tak Hai teri kahaani pag pag pyare Dangal dangal Dangal dangal Sooraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal Dangal dangal (x ) Dhadkane chhaati mein Jab dubak jaati hain Peeth thapthapa Unko phir jaaga Baat ban jaati hai Baawle haathi si Har chunauti hai re Saamne khadi Ghoor ke badi Aankh dikhlati hai Toh aankh se uski aankh mila ke Bhid jaane ka naam hai pyare Dangal dangal Dangal dangal Sooraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal Dangal dangal Re latth gaad doon Re jaada paad doon (x ) Thhos majboot bharosa Apne sapno pe karna Jitne munh utni baatein Gaur kitno pe karna Aaj logon ki baari Jo kahein keh lene de Tera bhi din aayega Uss din hisaab chuka ke rehna… Are bhed ki hahakaar ke badle Sher ki ek dahaad hai pyaare Dangal dangal Dangal dangal Sooraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal… ho ho… (x ) Latth gaad doon Re jaada paad doon Re latth gaad doon Re jaada paad doon Kar dikhane ka mauka Jab bhi kismat deti hai Gin ke taiyari ke din Tujhko mohlat deti hai Maangti hai laagat mein Tujhse har boond paseena Par munaafa badle mein Ye jaan le behadd deti hai Re bande ki mehnat ko kismat Ka saadar parnaam hai pyaare Dangal dangal Dangal dangal Sooraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal… (x ) Written by: Amitabh Bhattacharya
